in_holocene_study,Family,Feeding,Piscivore,Habit,Reef_associated,Cryptobenthic,Gross_habitat,harvested_archaeo,harvested_modern,harvested_combined,prey_of_harvested_fishes,Order,Class
No,Sphyrnidae,piscivore,Yes,demersal,NA,Not cryptobenthic,Marine,NA,NA,NA,NA,Carcharhiniformes,Elasmobranchii
No,Squalidae,piscivore,Yes,demersal,NA,Not cryptobenthic,Marine,NA,NA,NA,NA,Squaliformes,Elasmobranchii
No,Sternoptychidae,planktivore,No,bathypelagic,NA,Not cryptobenthic,Marine,NA,NA,NA,NA,Stomiiformes,Actinopterygii
No,Sternopygidae,NA,NA,NA,NA,Not cryptobenthic,Freshwater,NA,NA,NA,NA,Gymnotiformes,Actinopterygii
No,Stromateidae,piscivore,Yes,pelagic,NA,Not cryptobenthic,Marine,NA,NA,NA,NA,Scombriformes,Actinopterygii
No,Stromateidae,omnivore_carnivore,No,demersal,NA,Not cryptobenthic,Marine,NA,NA,NA,NA,Scombriformes,Actinopterygii
No,Synbranchidae,NA,No,NA,NA,Not cryptobenthic,Freshwater,NA,NA,NA,NA,Synbranchiformes,Actinopterygii
No,Teleostei,NA,NA,NA,NA,Not cryptobenthic,NA,NA,NA,NA,NA,NA,NA
No,Tetraodontidae,omnivore_carnivore,No,demersal,NA,Not cryptobenthic,Marine,NA,NA,NA,NA,Tetraodontiformes,Actinopterygii
No,Trachichthyidae,omnivore_carnivore,No,demersal,NA,Not cryptobenthic,Marine,NA,NA,NA,NA,Trachichthyiformes,Actinopterygii
No,Urotrygonidae,omnivore_carnivore,No,demersal,NA,Not cryptobenthic,Marine,NA,NA,NA,NA,Myliobatiformes,Elasmobranchii
