Family,Species,Type,Locality,a,b
Engraulidae,Cetengraulis edentulus,TL,North Rio de Janeiro / 1996-2017.,0.0187,3.21
Engraulidae,Cetengraulis mysticetus,TL,"Gulf of Nicoya, Puntarenas, 1989-90",0.00275,3.474
Engraulidae,Cetengraulis mysticetus,TL,"Gulf of Nicoya, Puntarenas, 1992-93",0.00351,3.404
Chaetodontidae,Chaetodon capistratus,TL,Southern Florida,0.022,3.19
Chaetodontidae,Chaetodon capistratus,TL,Grand Cul-de-Sac Marin Bay (Guadelopue) and Bay of Fort-de-France (Martinique),0.0147,3.4301
Chaetodontidae,Chaetodon humeralis,TL,"Gulf of California (Southern Sinaloa and Nayarit), 2005-2007",0.029,3.048
Chaetodontidae,Chaetodon humeralis,TL,Barra de Navidad lagoon / 2002-2003,0.0249,3.17
Chaetodontidae,Chaetodon ocellatus,TL,Southern Florida,0.0318,2.984
Chaetodontidae,Chaetodon sedentarius,TL,Southern Florida,0.0252,3.0759
Chaetodontidae,Chaetodon striatus,TL,Southern Florida,0.0222,3.14
Chaetodontidae,Chaetodon striatus,TL,"Praia dos Castelhanos, Espírito Santo, 2005-07",0.029,2.98
Bothidae,Chascanopsetta lugubris,TL,Southeastern Arabian Sea / 2014.,0.0012,3.448
Carangidae,Chloroscombrus chrysurus,TL,"Gulf of Mexico, Louisiana & Mississippi",0.0185,2.858
Carangidae,Chloroscombrus chrysurus,TL,NA,0.014,2.782
Carangidae,Chloroscombrus chrysurus,TL,"Southeastern region (São Sebastião System), São Paulo, 1997",0.0115,2.929
Carangidae,Chloroscombrus chrysurus,TL,NA,0.0111,2.86
Carangidae,Chloroscombrus chrysurus,TL,"Santa Catarina and São Paulo, 1997-98",0.0228,2.71
Carangidae,Chloroscombrus chrysurus,TL,"Pará (0°S - 25°S), 2003-2004",0.00783,3.109
Carangidae,Chloroscombrus chrysurus,TL,"Paraná (0°S - 25°S), 2003-2004",0.0168,2.763
